Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Jhonnata,842369,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Botafogo FR
Vitinho,928096,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Botafogo FR
João Maranhão,939252,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Botafogo FR
Lucas Perri,352041,12,24,,38,38,-,-,1,-,-,-,1,"1,68",3.375',BRA1_2023,BRA1,2023,Botafogo FR
Gatito Fernández,107318,1,34,,30,1,-,-,-,-,-,1,-,"0,00",45',BRA1_2023,BRA1,2023,Botafogo FR
Igo Gabriel,698750,52,20,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Douglas Borges,101667,22,32,,13,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
João Fernando,432146,31,21,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Hugo,740157,16,20,,35,22,-,2,3,-,-,9,2,"1,64",1.388',BRA1_2023,BRA1,2023,Botafogo FR
Adryelson,373433,34,24,,35,35,1,1,6,-,1,-,5,"1,74",3.001',BRA1_2023,BRA1,2023,Botafogo FR
Mateo Ponte,856047,-,19,,5,1,-,-,-,-,-,1,-,"3,00",21',BRA1_2023,BRA1,2023,Botafogo FR
Luis Segovia,385639,4,24,,15,2,-,-,1,-,-,1,1,"1,50",95',BRA1_2023,BRA1,2023,Botafogo FR
Bastos,195810,23,31,,14,4,-,-,-,-,-,2,2,"1,25",117',BRA1_2023,BRA1,2023,Botafogo FR
David Sousa,740159,-,20,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Leonel Di Plácido,322843,24,28,,35,32,1,4,5,-,-,7,8,"1,75",2.359',BRA1_2023,BRA1,2023,Botafogo FR
Philipe Sampaio,336697,94,27,,38,12,-,-,2,-,-,8,-,"2,08",494',BRA1_2023,BRA1,2023,Botafogo FR
Daniel Borges,276877,20,29,,8,1,-,-,-,-,-,1,-,"3,00",45',BRA1_2023,BRA1,2023,Botafogo FR
Marçal,137745,21,33,,23,22,-,3,8,-,1,2,4,"1,36",1.630',BRA1_2023,BRA1,2023,Botafogo FR
Victor Cuesta,104326,15,33,,35,35,1,1,9,-,-,-,-,"1,80",3.150',BRA1_2023,BRA1,2023,Botafogo FR
Wallison,682134,-,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
JP Galvão,982164,-,21,,24,4,-,-,-,-,-,2,1,"1,00",200',BRA1_2023,BRA1,2023,Botafogo FR
Rafael,61892,2,31,,9,9,-,-,1,1,-,1,5,"2,67",484',BRA1_2023,BRA1,2023,Botafogo FR
Joel Carli,87323,3,35,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Henrique Vermudt,653608,56,23,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Matheus Cabral,688873,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Vitor Marinho,815670,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Thiago Almada,576028,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Marlon Freitas,364972,17,27,,37,36,1,2,3,-,-,3,6,"1,69",2.911',BRA1_2023,BRA1,2023,Botafogo FR
Allan,126422,-,31,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Danilo Barbosa,273438,5,26,,30,23,3,-,5,-,-,13,4,"1,96",1.003',BRA1_2023,BRA1,2023,Botafogo FR
Gabriel Pires,167291,14,28,,20,16,-,1,2,-,-,6,10,"1,50",870',BRA1_2023,BRA1,2023,Botafogo FR
Lucas Fernandes,430761,18,24,,29,13,-,-,1,-,-,8,5,"2,08",469',BRA1_2023,BRA1,2023,Botafogo FR
Tchê Tchê,364261,6,29,,36,36,2,5,8,-,-,4,20,"1,61",2.673',BRA1_2023,BRA1,2023,Botafogo FR
Patrick de Paula,737821,8,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Kauê,834467,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Lucas Piazón,176485,43,28,,2,1,-,-,-,-,-,1,-,"0,00",19',BRA1_2023,BRA1,2023,Botafogo FR
Eduardo,110078,33,32,,34,34,6,6,5,-,1,2,16,"1,74",2.685',BRA1_2023,BRA1,2023,Botafogo FR
Kayque,813037,62,21,,3,2,-,1,1,-,-,2,-,"1,50",25',BRA1_2023,BRA1,2023,Botafogo FR
Breno,697400,35,21,,5,1,-,-,-,-,-,1,-,"3,00",9',BRA1_2023,BRA1,2023,Botafogo FR
Raí,978146,-,20,,14,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2023,BRA1,2023,Botafogo FR
Romildo Del Piage,742023,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Newton,811219,28,22,,3,1,-,-,-,-,-,1,-,"1,00",7',BRA1_2023,BRA1,2023,Botafogo FR
Jacob Montes,497494,32,23,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Wendel Lessa,740050,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Luis Henrique,691316,11,20,,36,34,4,2,-,-,-,21,12,"1,74",1.376',BRA1_2023,BRA1,2023,Botafogo FR
Júnior Santos,592347,37,27,,38,37,7,1,2,-,-,7,25,"1,65",2.175',BRA1_2023,BRA1,2023,Botafogo FR
Matheus Nascimento,743594,90,18,,11,5,1,-,2,-,-,4,1,"2,40",95',BRA1_2023,BRA1,2023,Botafogo FR
Victor Sá,381724,7,28,,33,33,4,4,3,-,-,6,25,"1,58",2.144',BRA1_2023,BRA1,2023,Botafogo FR
Matías Segovia,718307,-,19,,33,21,-,1,2,-,-,19,2,"1,95",640',BRA1_2023,BRA1,2023,Botafogo FR
Tiquinho Soares,103381,9,31,,33,33,17,4,10,-,-,3,18,"1,64",2.452',BRA1_2023,BRA1,2023,Botafogo FR
Diego Hernández,800732,77,22,,13,2,-,-,1,-,-,2,-,"2,00",39',BRA1_2023,BRA1,2023,Botafogo FR
Carlos Alberto,727747,27,20,,26,15,2,-,-,-,-,14,1,"1,07",285',BRA1_2023,BRA1,2023,Botafogo FR
Gustavo Sauer,336158,10,29,,19,6,2,1,-,-,-,2,4,"2,50",259',BRA1_2023,BRA1,2023,Botafogo FR
Diego Costa,44779,19,33,,13,13,3,-,7,-,-,10,1,"0,92",509',BRA1_2023,BRA1,2023,Botafogo FR
Janderson,976561,-,23,,31,18,1,1,2,-,-,16,2,"1,33",403',BRA1_2023,BRA1,2023,Botafogo FR
Luis Phelipe,673830,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Darius Lewis,644884,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Sebastian Joffre,663315,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Iago André,627234,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Botafogo FR
Hugo Souza,574901,45,22,,29,15,-,-,3,-,-,1,-,"1,07",1.285',BRA1_2022,BRA1,2022,CR Flamengo
Matheus Cunha,876739,25,20,,15,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Kauã Santos,997861,-,18,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Santos,140811,20,31,,24,19,-,-,1,-,-,-,-,"2,11",1.710',BRA1_2022,BRA1,2022,CR Flamengo
Bruno Guimarães,876750,12,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Diego Alves,42373,1,36,,20,5,-,-,-,-,-,-,1,"1,20",425',BRA1_2022,BRA1,2022,CR Flamengo
João Fernando,432146,50,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Léo Pereira,288431,4,25,,30,13,-,1,4,-,-,2,-,"1,23",1.111',BRA1_2022,BRA1,2022,CR Flamengo
Wesley,964580,43,17,,6,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Ayrton Lucas,349585,-,24,,33,31,2,6,4,-,-,3,3,"1,71",2.560',BRA1_2022,BRA1,2022,CR Flamengo
Fabrício Bruno,432773,15,25,,23,13,2,1,5,-,-,-,-,"2,15",1.170',BRA1_2022,BRA1,2022,CR Flamengo
Matheuzinho,594226,34,20,,31,28,1,3,4,-,-,5,6,"1,64",2.156',BRA1_2022,BRA1,2022,CR Flamengo
Ramon,663578,36,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Guillermo Varela,188862,-,28,,10,5,-,-,-,-,-,2,1,"2,20",259',BRA1_2022,BRA1,2022,CR Flamengo
Rodinei,185966,22,29,,32,16,-,1,-,-,1,6,6,"1,31",881',BRA1_2022,BRA1,2022,CR Flamengo
Gustavo Henrique,208681,2,28,,10,5,1,-,-,-,-,2,-,"1,80",343',BRA1_2022,BRA1,2022,CR Flamengo
Pablo,149577,30,30,,35,23,-,-,5,-,-,1,1,"2,09",1.946',BRA1_2022,BRA1,2022,CR Flamengo
Renê,212209,6,28,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Gabriel Noga,627215,41,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Cleiton,943237,33,18,,9,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2022,BRA1,2022,CR Flamengo
Rodrigo Caio,172054,3,27,,9,8,-,-,-,-,-,1,2,"0,88",586',BRA1_2022,BRA1,2022,CR Flamengo
Diegão,886563,51,17,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
David Luiz,46741,23,34,,28,19,-,-,4,-,-,2,3,"1,32",1.426',BRA1_2022,BRA1,2022,CR Flamengo
Mauricio Isla,43722,44,33,,10,6,1,-,-,-,-,2,2,"1,33",341',BRA1_2022,BRA1,2022,CR Flamengo
Filipe Luís,21725,16,35,,27,10,-,-,1,-,-,2,3,"0,80",638',BRA1_2022,BRA1,2022,CR Flamengo
Marcos Paulo,978039,47,18,,5,1,-,-,1,-,-,1,-,"1,00",28',BRA1_2022,BRA1,2022,CR Flamengo
Patrick,371990,49,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
João Gomes,735570,35,20,,35,29,-,1,8,-,-,7,10,"1,48",1.882',BRA1_2022,BRA1,2022,CR Flamengo
Andreas Pereira,203394,18,25,,14,13,2,1,2,-,-,4,4,"1,31",791',BRA1_2022,BRA1,2022,CR Flamengo
Giorgian de Arrascaeta,248410,14,27,,25,24,3,10,1,-,-,8,10,"2,00",1.480',BRA1_2022,BRA1,2022,CR Flamengo
Matheus França,743597,42,17,,19,17,4,-,1,-,-,10,6,"1,65",670',BRA1_2022,BRA1,2022,CR Flamengo
Thiago Maia,294873,8,24,,30,24,-,-,6,-,-,6,8,"1,46",1.546',BRA1_2022,BRA1,2022,CR Flamengo
Erick Pulgar,215616,-,27,,10,6,-,-,1,-,-,2,2,"1,33",355',BRA1_2022,BRA1,2022,CR Flamengo
Victor Hugo,749559,29,17,,29,21,2,2,1,-,-,4,15,"2,05",1.261',BRA1_2022,BRA1,2022,CR Flamengo
Willian Arão,210747,5,29,,14,14,2,-,1,-,-,4,2,"1,29",920',BRA1_2022,BRA1,2022,CR Flamengo
Igor Jesus,978037,48,18,,9,3,-,-,-,-,-,3,-,"3,00",21',BRA1_2022,BRA1,2022,CR Flamengo
Everton Ribeiro,52896,7,32,,31,30,2,4,-,-,-,11,17,"1,63",1.795',BRA1_2022,BRA1,2022,CR Flamengo
Arturo Vidal,37666,-,34,,15,15,2,1,2,-,-,6,7,"1,67",838',BRA1_2022,BRA1,2022,CR Flamengo
Daniel Cabral,662328,28,19,,5,1,-,-,-,-,-,1,-,"3,00",2',BRA1_2022,BRA1,2022,CR Flamengo
Diego,4248,10,36,,34,19,1,-,3,-,-,8,7,"1,84",880',BRA1_2022,BRA1,2022,CR Flamengo
Kayke David,978045,39,18,,6,2,-,-,-,-,-,2,-,"0,50",24',BRA1_2022,BRA1,2022,CR Flamengo
Yuri de Oliveira,432161,60,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Pedro,432895,21,24,,28,24,11,3,3,-,-,12,6,"1,79",1.166',BRA1_2022,BRA1,2022,CR Flamengo
Everton,321239,-,25,,20,20,2,5,-,-,1,5,10,"1,90",1.425',BRA1_2022,BRA1,2022,CR Flamengo
Gabriel Barbosa,244275,9,24,,29,29,11,1,8,1,-,7,9,"1,66",2.052',BRA1_2022,BRA1,2022,CR Flamengo
Matheus Gonçalves,961046,40,15,,5,3,-,-,-,-,-,3,-,"1,00",25',BRA1_2022,BRA1,2022,CR Flamengo
Lázaro,574772,13,19,,24,21,4,2,2,-,-,11,9,"1,76",818',BRA1_2022,BRA1,2022,CR Flamengo
Vitinho,213605,11,27,,16,11,-,-,1,-,-,7,3,"1,91",477',BRA1_2022,BRA1,2022,CR Flamengo
André Luiz,919262,17,19,,1,1,-,-,-,-,-,1,-,"0,00",45',BRA1_2022,BRA1,2022,CR Flamengo
Bruno Henrique,353108,27,30,,8,8,1,2,3,-,-,-,4,"1,38",616',BRA1_2022,BRA1,2022,CR Flamengo
Werton,902438,19,17,,7,2,1,-,-,-,-,2,-,"2,00",27',BRA1_2022,BRA1,2022,CR Flamengo
Petterson,978057,-,17,,6,2,-,-,-,-,-,2,-,"1,50",27',BRA1_2022,BRA1,2022,CR Flamengo
Thiaguinho,638305,32,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Mateusão,743596,46,17,,11,8,-,-,1,-,-,6,2,"1,38",222',BRA1_2022,BRA1,2022,CR Flamengo
Marinho,74758,31,31,,34,25,4,5,6,-,1,9,14,"1,60",1.387',BRA1_2022,BRA1,2022,CR Flamengo
Pedrinho,992532,-,18,,2,1,-,-,-,-,-,1,-,"0,00",8',BRA1_2022,BRA1,2022,CR Flamengo
Ryan Luka,900456,-,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,CR Flamengo
Hugo Souza,574901,45,23,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Agustín Rossi,352324,17,26,,25,15,-,-,1,-,-,-,-,"1,80",1.350',BRA1_2023,BRA1,2023,CR Flamengo
Matheus Cunha,876739,25,21,,38,19,-,-,1,-,-,1,1,"1,74",1.579',BRA1_2023,BRA1,2023,CR Flamengo
Kauã Santos,997861,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Santos,140811,1,32,,38,6,-,-,-,-,-,1,1,"1,50",491',BRA1_2023,BRA1,2023,CR Flamengo
Dyogo Alves,1082543,49,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Léo Pereira,288431,4,26,,32,32,3,1,6,-,-,-,7,"1,81",2.645',BRA1_2023,BRA1,2023,CR Flamengo
Wesley,964580,43,18,,36,35,1,1,3,-,-,8,5,"1,74",2.514',BRA1_2023,BRA1,2023,CR Flamengo
Ayrton Lucas,349585,6,25,,35,35,4,3,8,-,-,6,7,"1,77",2.592',BRA1_2023,BRA1,2023,CR Flamengo
Fabrício Bruno,432773,15,26,,36,34,-,1,8,-,-,-,-,"1,88",3.060',BRA1_2023,BRA1,2023,CR Flamengo
Matheuzinho,594226,34,21,,21,11,-,-,2,-,-,4,3,"1,64",618',BRA1_2023,BRA1,2023,CR Flamengo
Ramon,663578,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Guillermo Varela,188862,2,29,,27,5,-,-,-,-,-,2,3,"1,80",235',BRA1_2023,BRA1,2023,CR Flamengo
Pablo,149577,30,31,,38,7,-,-,1,-,-,3,2,"1,14",421',BRA1_2023,BRA1,2023,CR Flamengo
Gabriel Noga,627215,41,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Cleiton,943237,33,19,,10,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Rodrigo Caio,172054,3,28,,37,5,-,-,-,-,-,5,-,"1,80",62',BRA1_2023,BRA1,2023,CR Flamengo
Diegão,886563,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
David Luiz,46741,23,35,,21,15,1,1,1,-,-,4,4,"1,67",997',BRA1_2023,BRA1,2023,CR Flamengo
Zé Welinton,1069871,39,18,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Filipe Luís,21725,16,36,,28,10,-,1,3,-,-,4,4,"2,60",531',BRA1_2023,BRA1,2023,CR Flamengo
Darlan Batista,997862,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Gerson,341705,20,25,,33,32,5,8,4,-,1,1,7,"1,75",2.695',BRA1_2023,BRA1,2023,CR Flamengo
Giorgian de Arrascaeta,248410,14,28,,28,28,7,6,3,-,-,6,14,"1,86",1.851',BRA1_2023,BRA1,2023,CR Flamengo
Matheus França,743597,42,18,,13,9,1,-,-,-,-,4,5,"1,56",369',BRA1_2023,BRA1,2023,CR Flamengo
Lorran,1009030,19,15,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Thiago Maia,294873,8,25,,34,32,-,-,7,-,-,6,15,"1,66",2.108',BRA1_2023,BRA1,2023,CR Flamengo
Erick Pulgar,215616,5,28,,26,25,2,3,9,-,-,3,5,"2,20",2.004',BRA1_2023,BRA1,2023,CR Flamengo
Allan,385271,21,25,,11,9,-,-,1,-,-,5,2,"1,11",481',BRA1_2023,BRA1,2023,CR Flamengo
Victor Hugo,749559,29,18,,38,30,1,2,2,-,-,18,9,"1,77",1.268',BRA1_2023,BRA1,2023,CR Flamengo
Evertton Araújo,931007,52,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Igor Jesus,978037,48,19,,18,4,-,-,1,-,-,4,-,"1,00",74',BRA1_2023,BRA1,2023,CR Flamengo
Everton Ribeiro,52896,7,33,,34,30,3,4,3,-,-,15,15,"1,67",1.476',BRA1_2023,BRA1,2023,CR Flamengo
Arturo Vidal,37666,32,35,,11,6,-,-,2,-,-,4,2,"2,00",251',BRA1_2023,BRA1,2023,CR Flamengo
Rayan Lucas,1087842,-,17,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Weverson,868810,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Rodriguinho,1082599,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Jean Carlos,1082600,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Pedro,432895,9,25,,35,34,13,-,1,-,-,8,16,"1,74",2.160',BRA1_2023,BRA1,2023,CR Flamengo
Everton,321239,11,26,,38,33,4,5,-,-,-,12,17,"1,73",1.746',BRA1_2023,BRA1,2023,CR Flamengo
Gabriel Barbosa,244275,10,25,,29,26,5,1,7,-,2,9,7,"1,65",1.539',BRA1_2023,BRA1,2023,CR Flamengo
Luiz Araújo,435485,-,26,,21,20,3,1,2,-,1,10,7,"1,65",779',BRA1_2023,BRA1,2023,CR Flamengo
Matheus Gonçalves,961046,40,16,,12,2,-,-,-,-,-,2,-,"3,00",14',BRA1_2023,BRA1,2023,CR Flamengo
André Luiz,919262,38,20,,14,2,-,-,1,-,-,2,-,"0,50",14',BRA1_2023,BRA1,2023,CR Flamengo
Bruno Henrique,353108,27,31,,30,29,2,1,7,-,1,15,9,"1,79",1.540',BRA1_2023,BRA1,2023,CR Flamengo
Werton,902438,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Petterson,978057,37,18,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Thiaguinho,638305,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Mateusão,743596,46,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Marinho,74758,31,32,,7,4,-,-,1,-,-,4,-,"0,75",78',BRA1_2023,BRA1,2023,CR Flamengo
Pedrinho,992532,44,19,,2,1,-,-,-,-,-,1,-,"1,00",18',BRA1_2023,BRA1,2023,CR Flamengo
Ryan Luka,900456,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Flamengo
Léo Jardim,288415,1,27,,38,38,-,-,2,-,-,-,-,"1,18",3.420',BRA1_2023,BRA1,2023,CR Vasco da Gama
Ivan,364257,97,24,,36,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Halls,734169,24,23,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Alexander,668799,55,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Cadu Neves,668229,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Patrick Paixão,977701,34,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Lucas Piton,670201,6,21,,37,37,-,4,5,-,-,-,2,"1,22",3.285',BRA1_2023,BRA1,2023,CR Vasco da Gama
Robson Bambu,458715,30,24,,25,18,-,-,6,-,-,2,8,"1,06",1.286',BRA1_2023,BRA1,2023,CR Vasco da Gama
José Luis Rodríguez,430339,2,25,,36,32,2,1,2,-,-,10,6,"1,00",1.992',BRA1_2023,BRA1,2023,CR Vasco da Gama
Léo,403296,3,26,,35,34,-,-,6,-,-,4,2,"1,24",2.717',BRA1_2023,BRA1,2023,CR Vasco da Gama
Paulo Henrique,412594,96,25,,29,14,1,1,3,-,-,4,7,"1,43",856',BRA1_2023,BRA1,2023,CR Vasco da Gama
Manuel Capasso,653152,22,26,,23,9,-,-,4,-,-,3,3,"0,22",554',BRA1_2023,BRA1,2023,CR Vasco da Gama
Paulo Victor,875511,66,21,,9,1,-,-,-,-,-,1,-,"3,00",10',BRA1_2023,BRA1,2023,CR Vasco da Gama
Miranda,412376,35,22,,20,7,-,-,-,-,-,3,2,"0,86",387',BRA1_2023,BRA1,2023,CR Vasco da Gama
Paulo Ricardo,1083888,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Jefferson,435211,12,25,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Gabriel Dias,336474,13,28,,6,1,-,-,-,-,-,1,1,"3,00",12',BRA1_2023,BRA1,2023,CR Vasco da Gama
Maicon,84695,4,33,,24,16,-,2,3,-,-,2,3,"1,63",1.256',BRA1_2023,BRA1,2023,CR Vasco da Gama
Gary Medel,60889,17,34,,20,20,-,-,5,-,1,-,4,"1,45",1.729',BRA1_2023,BRA1,2023,CR Vasco da Gama
Zé Vitor,982165,44,20,,24,4,-,-,1,-,-,3,-,"1,00",108',BRA1_2023,BRA1,2023,CR Vasco da Gama
Lyncon,1083889,-,17,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Edimar,74314,-,36,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Anderson Conceição,187759,-,32,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Andrey Santos,743600,-,18,,6,6,1,-,3,-,-,-,4,"1,00",424',BRA1_2023,BRA1,2023,CR Vasco da Gama
Marlon Gomes,668235,25,18,,26,23,-,1,4,-,-,9,13,"1,35",1.147',BRA1_2023,BRA1,2023,CR Vasco da Gama
Praxedes,574765,21,20,,22,21,1,2,2,-,-,3,13,"1,67",1.347',BRA1_2023,BRA1,2023,CR Vasco da Gama
Jair,239294,8,27,,31,29,3,-,6,-,1,13,10,"1,07",1.587',BRA1_2023,BRA1,2023,CR Vasco da Gama
Matías Galarza Fonda,661269,19,20,,19,10,1,-,1,-,-,6,4,"1,00",398',BRA1_2023,BRA1,2023,CR Vasco da Gama
Patrick de Lucca,689737,5,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Zé Gabriel,670968,23,23,,29,27,1,-,5,-,-,3,11,"1,41",1.945',BRA1_2023,BRA1,2023,CR Vasco da Gama
Mateus Carvalho,862574,85,20,,26,9,-,-,3,-,-,6,2,"0,89",344',BRA1_2023,BRA1,2023,CR Vasco da Gama
Dimitri Payet,37647,10,35,,18,17,2,1,-,-,-,10,6,"1,53",798',BRA1_2023,BRA1,2023,CR Vasco da Gama
